"chargeback_id","payment_id","reason","chargeback_amount","currency","chargeback_status","opened_at"
"1","220664","unauthorized","86.8","USD","won","2026-08-12T03:40:46.3983416+00:00"
"2","208109","unauthorized","65.46","COP","open","2026-07-10T07:18:46.3983416+00:00"
"3","244642","duplicate","32.42","USD","lost","2026-08-14T15:15:46.3983416+00:00"
"4","233160","duplicate","86.55","USD","won","2026-07-18T11:33:46.3983416+00:00"
"5","242919","unauthorized","133.44","COP","lost","2026-08-12T04:21:46.3983416+00:00"
"6","210609","duplicate","127.83","USD","lost","2026-08-05T03:06:46.3983416+00:00"
"7","202825","service_not_received","79.12","COP","open","2026-07-28T12:22:46.3983416+00:00"
"8","243321","service_not_received","39.03","USD","won","2026-07-19T18:52:46.3983416+00:00"
"9","148095","unauthorized","131.72","USD","lost","2026-07-11T11:18:46.3983416+00:00"
"10","196456","duplicate","49.7","MXN","open","2026-06-26T14:28:46.3983416+00:00"
"11","207028","service_not_received","36.7","USD","open","2026-07-23T02:33:46.3983416+00:00"
"12","172727","fraud","109.55","USD","lost","2026-07-22T09:49:46.3983416+00:00"
"13","141515","service_not_received","81.55","USD","won","2026-07-28T10:00:46.3983416+00:00"
"14","100244","service_not_received","146.08","MXN","open","2026-07-06T03:05:46.3983416+00:00"
"15","145279","service_not_received","35.37","USD","open","2026-06-30T10:01:46.3983416+00:00"
"16","57534","duplicate","79.52","COP","lost","2026-08-11T16:50:46.3983416+00:00"
"17","32271","unauthorized","124.74","COP","won","2026-08-17T08:42:46.3983416+00:00"
"18","56099","fraud","98.5","MXN","won","2026-06-25T02:12:46.3983416+00:00"
"19","136668","service_not_received","71.95","MXN","open","2026-08-07T14:26:46.3983416+00:00"
"20","72830","duplicate","121.83","USD","lost","2026-07-14T10:53:46.3983416+00:00"
"21","170628","service_not_received","82.83","USD","lost","2026-06-27T22:37:46.3983416+00:00"
"22","53832","unauthorized","125.07","USD","open","2026-06-25T23:50:46.3983416+00:00"
"23","177243","service_not_received","24.86","USD","won","2026-07-12T14:14:46.3983416+00:00"
"24","228296","fraud","62.7","COP","open","2026-08-06T01:32:46.3983416+00:00"
"25","207802","duplicate","105.44","COP","won","2026-07-22T14:28:46.3983416+00:00"
