"settlement_id","payment_id","processor","gross_amount","processor_fee","net_amount","currency","settlement_status","settled_at"
"1","167027","adyen","25.43","0.57","24.86","USD","settled","2026-07-28T03:59:43.4424858+00:00"
"2","190313","adyen","39.02","0.98","38.04","USD","settled","2026-08-11T04:07:43.4596677+00:00"
"3","203535","stripe","88.69","2.48","86.21","USD","settled","2026-07-25T04:07:43.4596677+00:00"
"4","177789","paypal","26.43","1.01","25.42","MXN","settled","2026-08-18T08:35:43.4671039+00:00"
"5","205267","paypal","5.57","0.17","5.4","COP","settled","2026-08-15T16:06:43.4671039+00:00"
"6","195411","stripe","95.84","2.14","93.7","COP","settled","2026-07-30T13:07:43.4671039+00:00"
"7","151140","adyen","79.81","1.68","78.13","COP","settled","2026-08-13T15:48:43.4671039+00:00"
"8","66860","stripe","14.96","0.51","14.45","MXN","settled","2026-07-26T05:39:43.4671039+00:00"
"9","124900","stripe","6.3","0.23","6.07","USD","settled","2026-07-30T15:15:43.4671039+00:00"
"10","232243","adyen","71.87","1.98","69.89","USD","settled","2026-08-15T05:22:43.4671039+00:00"
"11","133092","paypal","63.1","1.64","61.46","MXN","settled","2026-08-18T18:12:43.4671039+00:00"
"12","83209","stripe","108.05","2.51","105.54","MXN","settled","2026-07-26T13:01:43.4671039+00:00"
"13","53916","paypal","90.79","2.75","88.04","COP","settled","2026-07-28T09:36:43.4671039+00:00"
"14","247458","adyen","99.37","2.04","97.33","COP","settled","2026-08-13T10:07:43.4671039+00:00"
"15","54031","stripe","90.89","2.59","88.3","COP","settled","2026-08-16T08:50:43.4671039+00:00"
"16","187788","stripe","124.75","2.52","122.23","COP","pending","2026-08-11T17:19:43.4671039+00:00"
"17","69862","adyen","84.07","2.75","81.32","USD","settled","2026-08-14T15:56:43.4671039+00:00"
"18","233366","stripe","148.18","5.28","142.9","COP","settled","2026-08-10T02:36:43.4671039+00:00"
"19","178120","adyen","22.68","0.72","21.96","COP","settled","2026-08-08T16:42:43.4671039+00:00"
"20","135755","stripe","142.42","5.16","137.26","USD","settled","2026-08-13T17:26:43.4671039+00:00"
"21","101002","stripe","90.67","2.54","88.13","COP","pending","2026-07-23T11:49:43.4671039+00:00"
"22","135551","paypal","94.31","3.66","90.65","COP","settled","2026-08-09T03:21:43.4671039+00:00"
"23","61778","stripe","133.76","4.45","129.31","USD","settled","2026-07-25T01:05:43.4671039+00:00"
"24","105128","paypal","121.75","4.58","117.17","COP","pending","2026-08-04T18:11:43.4671039+00:00"
"25","39046","adyen","90.19","2.18","88.01","MXN","settled","2026-08-15T20:49:43.4671039+00:00"
"26","130304","adyen","109.5","2.63","106.87","COP","settled","2026-08-12T18:06:43.4671039+00:00"
"27","13921","stripe","36.09","0.95","35.14","USD","settled","2026-07-23T04:47:43.4671039+00:00"
"28","113448","paypal","115.69","3.85","111.84","MXN","pending","2026-08-10T11:13:43.4671039+00:00"
"29","148263","paypal","93.86","2.6","91.26","USD","settled","2026-07-23T08:14:43.4671039+00:00"
"30","220353","stripe","134.15","2.73","131.42","MXN","settled","2026-07-23T06:29:43.4671039+00:00"
"31","163881","paypal","147.78","3.83","143.95","COP","settled","2026-08-09T01:07:43.4671039+00:00"
"32","171326","adyen","80.67","2.2","78.47","USD","settled","2026-07-31T01:50:43.4671039+00:00"
"33","166300","paypal","19.44","0.44","19","USD","pending","2026-08-09T15:35:43.4671039+00:00"
